code,name,area,category,notes
1408,외국인사역부 B.I.,특수,special_ministry,외국인 사역
1704,의료선교부,특수,special_ministry,의료 선교
1705,TIA,특수,special_ministry,TIA
2101,서울동1,서울,regular,
2102,서울동2,서울,regular,
2103,서울서,서울,regular,
2104,서울서2,서울,regular,
2105,서울남,서울,regular,
2106,서울북,서울,regular,
2107,서울북동,서울,regular,
2108,서울북동2,서울,regular,
2109,서울중앙,서울,regular,
2110,서울북중앙,서울,regular,
2201,인천지구,인천,regular,
2202,수원지구,경기,regular,
2203,안양지구,경기,regular,
2204,용인지구,경기,regular,
2205,성남지구,경기,regular,
2206,안산지구,경기,regular,
2207,평택안성,경기,regular,
2208,부천지구,경기,regular,
2209,의정부지구,경기,regular,
2301,강릉속초,강원,regular,
2302,춘천지구,강원,regular,
2303,원주지구,강원,regular,
2304,삼척지구,강원,regular,
2401,대전지구,대전,regular,
2402,공주지구,충남,regular,
2403,천안지구,충남,regular,
2404,세종지구,세종,regular,
2405,홍성지구,충남,regular,
2501,청주지구,충북,regular,
2502,충주지구,충북,regular,
2503,제천지구,충북,regular,
2601,광주지구,광주,regular,
2603,목포지구,전남,regular,
2605,제주지구,제주,regular,
2606,순천여수,전남,regular,
2701,전주지구,전북,regular,
2702,군산지구,전북,regular,
2703,익산지구,전북,regular,
2801,부산지구,부산,regular,
2802,창원지구,경남,regular,
2803,울산지구,울산,regular,
2804,진주지구,경남,regular,
2901,대구지구,대구,regular,
2902,안동지구,경북,regular,
2903,경주지구,경북,regular,
2904,포항지구,경북,regular,
2905,김천구미,경북,regular,
2906,영주지구,경북,regular,
4701,경기P2C,경기,regular,P2C 사역
9999,해외,해외,overseas,
